Laptop,Status,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Price,Brand_Acer,Brand_Alurin,Brand_Apple,Brand_Asus,Brand_Deep Gaming,Brand_Dell,Brand_Denver,Brand_Dynabook Toshiba,Brand_Gigabyte,Brand_HP,Brand_Innjoo,Brand_Jetwing,Brand_LG,Brand_Lenovo,Brand_MSI,Brand_Medion,Brand_Microsoft,Brand_Millenium,Brand_PcCom,Brand_Primux,Brand_Prixton,Brand_Razer,Brand_Realme,Brand_Samsung,Brand_Thomson,Brand_Toshiba,Brand_Vant,Cores,External VRAM
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",New,IdeaPad,AMD Ryzen 7,16,512,SSD,,15.6,No,829,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"HP 15S-fq2158ns Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,15S,Intel Core i3,8,256,SSD,,15.6,No,449,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Apple MacBook Air Apple M1/8GB/256GB SSD/GPU Hepta Core/13.3"" Gris Espacial",New,MacBook Air,Apple M1,8,256,SSD,,13.3,No,1219,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"Lenovo ThinkBook 14 Intel Core i5-1135G7/8GB/256GB SSD/14""",New,ThinkBook,Intel Core i5,8,256,SSD,,14,No,699,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ASUS TUF Gaming A15 2023 FA507NV-LP041 AMD Ryzen 7 7735HS/16GB/1TB SSD/RTX 4060/15.6""",New,TUF,AMD Ryzen 7,16,1000,SSD,RTX 4060,15.6,No,1349,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8192
"MSI Katana 15 B12VGK-094XES Intel Core i7-12650H/16GB/1TB SSD/RTX 4070/15.6""",New,Katana,Intel Core i7,16,1000,SSD,RTX 4070,15.6,No,1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,12288
"ASUS M515UA-EJ522W AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,M515UA,AMD Ryzen 5,8,512,SSD,,15.6,No,699,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"HP Victus 16-e0101ns AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3060/16.1""",New,Victus,AMD Ryzen 7,16,512,SSD,RTX 3060,16.1,No,1299.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8192
"HP 250 G9 Intel Celeron N4500/8 GB/256GB SSD/15.6""",New,250,Intel Celeron,8,256,SSD,,15.6,No,399,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"HP OMEN 16-C0042NS AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050 Ti/16.1""",New,Omen,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,No,1149,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8192
"MSI Modern 15 B7M-041XES AMD Ryzen 5 7530U/16GB/512GB SSD/15.6""",New,Modern,AMD Ryzen 5,16,512,SSD,,15.6,No,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"HP 255 G9 AMD Athlon 3020e/8GB/512GB SSD/15.6""",New,255,AMD Athlon,8,512,SSD,,15.6,No,379,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASUS VivoBook 15 F1500EA-EJ3022 Intel Core i7-1165G7/16GB/512GB SSD/15.6""",New,VivoBook,Intel Core i7,16,512,SSD,,15.6,No,809.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
